catcherid,balls,strikes,is_lhb,is_lhp,is_strike,is_swing,is_miss,is_ballinplay,px,pz,SpinRate,InducedVerticalBreak,HorizontalBreak,Pitch_Type
2,0,0,1,0,1,1,0,0,0.606,2.705,2144.678098,10.93655079,16.23976558,TwoSeam Fastball
2,0,1,1,0,1,1,0,0,-0.072,1.666,2156.544797,11.28320568,14.5156979,TwoSeam Fastball
2,0,2,1,0,1,1,1,0,0.97,3.357,2207.919553,14.43318241,10.72382015,TwoSeam Fastball
2,0,0,0,0,0,1,0,1,0.08,2.089,2165.225217,10.91063373,14.60116905,TwoSeam Fastball
2,0,0,1,0,0,0,0,0,1.13,2.078,2081.513791,12.19931381,14.4611153,TwoSeam Fastball
2,1,0,1,0,1,0,0,0,1.005,2.656,2247.260861,14.13330333,15.96431583,TwoSeam Fastball
2,1,1,1,0,0,1,0,1,0.83,2.222,1764.073361,9.872282675,18.13074726,Changeup
2,0,0,0,0,1,0,0,0,-0.725,2.075,2114.630246,13.26058834,8.200581968,FourSeam Fastball
2,0,1,0,0,0,0,0,0,-1.217,2.532,2145.18591,13.02689617,14.14850277,TwoSeam Fastball
2,1,1,0,0,1,1,1,0,-1.078,1.333,2087.755979,9.601465872,0.413961619,Slider
2,1,2,0,0,1,0,0,0,0.61,1.754,2138.241086,17.52734916,11.16953224,TwoSeam Fastball
2,0,0,0,0,0,0,0,0,1.694,1.558,2202.08508,12.35948341,10.33683628,TwoSeam Fastball
2,1,0,0,0,0,0,0,0,-0.579,1.445,2123.3551,9.62920635,0.575820863,Slider
2,2,0,0,0,0,1,0,1,0.372,2.621,2128.35217,12.67860191,15.29910415,TwoSeam Fastball
2,0,0,0,0,0,0,0,0,0.057,0.731,2145.865354,9.540100744,16.85339969,TwoSeam Fastball
2,1,0,0,0,0,1,0,1,1.097,3.131,2170.292844,16.66962211,7.902653635,FourSeam Fastball
2,0,0,0,0,1,0,0,0,-0.946,3.26,2068.41467,10.09826534,-5.573978007,Slider
2,0,1,0,0,1,0,0,0,-0.656,2.041,2289.001096,10.75782173,16.15054935,TwoSeam Fastball
2,0,2,0,0,0,0,0,0,-2.394,0.854,2118.939328,8.667982748,-5.388171256,Slider
2,1,2,0,0,0,0,0,0,1.265,1.696,2237.159543,12.22582882,13.95781273,TwoSeam Fastball
2,2,2,0,0,1,1,1,0,-1.599,2.485,2086.814816,5.779680422,-1.52016896,Slider
2,0,0,1,0,1,0,0,0,0.446,1.433,2065.12634,10.26817005,14.97037739,TwoSeam Fastball
2,0,1,1,0,1,1,1,0,1.08,1.69,1860.534665,7.248036077,17.67238277,Changeup
2,0,2,1,0,1,1,0,0,0.569,3.283,2113.508664,15.42385834,8.055603921,FourSeam Fastball
2,0,2,1,0,0,0,0,0,0.317,-0.205,2291.72302,-4.875135729,-7.572368681,Curveball
2,1,2,1,0,1,0,0,0,0.81,1.474,2132.703977,12.79296177,14.68332618,TwoSeam Fastball
2,0,0,0,0,1,0,0,0,-0.678,2.735,1979.273679,10.40852611,7.503855169,FourSeam Fastball
2,0,1,0,0,1,1,1,0,-0.903,1.577,2048.943234,8.901239088,-2.041666329,Slider
2,0,2,0,0,1,1,0,0,-1.169,2.644,2233.043332,4.382200887,-14.81362396,Curveball
2,0,2,0,0,0,0,0,0,-2.025,1.049,2036.767575,7.989638498,-3.581883729,Slider
2,1,2,0,0,0,0,0,0,-1.414,1.452,2010.316892,8.832810095,15.16236919,TwoSeam Fastball
2,2,2,0,0,1,0,0,0,-0.763,1.948,2264.00134,18.64346473,5.412626207,FourSeam Fastball
2,0,0,1,0,1,1,0,0,0.927,2.403,1642.594968,8.552099874,15.37075561,Changeup
2,0,1,1,0,1,0,0,0,0.198,1.613,1949.915036,8.646627119,15.40257019,TwoSeam Fastball
2,0,2,1,0,0,0,0,0,-1.867,-0.071,2057.100705,7.529812505,-1.408255756,Slider
2,1,2,1,0,1,1,1,0,-1.308,2.43,2063.334104,5.619029691,-2.227461159,Slider
2,0,0,0,0,1,0,0,0,0.117,2.343,2184.2926,11.96521824,14.98025173,TwoSeam Fastball
2,0,1,0,0,1,1,1,0,-1.686,2.027,2082.615109,9.946697881,-4.819826663,Slider
